run_id,run_at,model_tag,n_features,rows_total,rows_test,test_mae,test_rmse,test_median_ape_pct,test_mape_pct,test_within_10pct,test_within_20pct,test_r2,train_r2,features
20260617T165018Z,2026-06-17T16:50:18+00:00,pricepilot_fee_model,15,143657,28732,496.9427,932.9187,9.9392,20.9996,50.2402,75.6369,0.5233,0.6206,"turn_around_time,building_area,land_acreage,total_units,pct_units_inspect,number_of_stories,number_of_buildings,created_month,service_type_id,primary_property_type,secondary_property_type,prior_report,site_complexity,country,customer_type"
20260603T182056Z,2026-06-03T18:20:56+00:00,pricepilot_fee_model,14,141476,28296,529.6705,973.162,11.3418,22.9879,45.5259,72.5262,0.4755,0.5681,"turn_around_time,building_area,land_acreage,total_units,pct_units_inspect,number_of_stories,number_of_buildings,created_month,service_type_id,primary_property_type,secondary_property_type,prior_report,site_complexity,country"
20260603T175846Z,2026-06-03T17:58:46+00:00,pricepilot_fee_model,14,141476,28296,529.6705,973.162,11.3418,22.9879,45.5259,72.5262,0.4755,0.5681,"turn_around_time,building_area,land_acreage,total_units,pct_units_inspect,number_of_stories,number_of_buildings,created_month,service_type_id,primary_property_type,secondary_property_type,prior_report,site_complexity,country"
20260602T231952Z,2026-06-02T23:19:52+00:00,pricepilot_fee_model,14,141476,28296,529.6705,973.162,11.3418,22.9879,45.5259,72.5262,0.4755,0.5681,"turn_around_time,building_area,land_acreage,total_units,pct_units_inspect,number_of_stories,number_of_buildings,created_month,service_type_id,primary_property_type,secondary_property_type,prior_report,site_complexity,country"
20260602T231034Z__no_base_fee,2026-06-02T23:10:34+00:00,pricepilot_fee_model__no_base_fee,14,141476,28296,529.6705,973.162,11.3418,22.9879,45.5259,72.5262,0.4755,0.5681,"turn_around_time,building_area,land_acreage,total_units,pct_units_inspect,number_of_stories,number_of_buildings,created_month,service_type_id,primary_property_type,secondary_property_type,prior_report,site_complexity,country"
20260602T224715Z,2026-06-02T22:47:15+00:00,pricepilot_fee_model,15,141476,28296,529.8686,973.5203,11.3731,22.9951,45.3916,72.5332,0.4751,0.5702,"base_fee,turn_around_time,building_area,land_acreage,total_units,pct_units_inspect,number_of_stories,number_of_buildings,created_month,service_type_id,primary_property_type,secondary_property_type,prior_report,site_complexity,country"
