order_form_service_id,category,level,description,value
2,Turnaround Time,11,11 days,10
2,Turnaround Time,12,12 days,10
2,Turnaround Time,13,13 days,0
2,Turnaround Time,14,14 days,0
2,Turnaround Time,15,15 days,0
2,Turnaround Time,16,16 days,0
2,Turnaround Time,17,17 days,-5
2,Turnaround Time,18,18 days,-5
2,Turnaround Time,19,19 days,-5
2,Turnaround Time,2,2 days,RFP
2,Turnaround Time,20,20 days,-5
2,Turnaround Time,3,3 days,RFP
2,Turnaround Time,4,4 days,RFP
2,Turnaround Time,5,5 days,RFP
2,Turnaround Time,6,6 days,RFP
2,Turnaround Time,7,7 days,RFP
2,Turnaround Time,8,8 days,RFP
2,Turnaround Time,9,9 days,RFP
2,Unit Inspection,1,1 to 20 units,0
2,Unit Inspection,2,21 to 40 units,10
2,Unit Inspection,3,41 to 60 units,20
2,Unit Inspection,4,61 to 80 units,RFP
2,Unit Inspection,5,81 to 100 units,RFP
3,# of Buildings,1,1 to 2,0
3,# of Buildings,2,3 to 5,5
3,# of Buildings,3,6+,10
3,# of Stories,1,1 to 3,0
3,# of Stories,2,4 to 10,0
3,# of Stories,3,11+,2
3,International,1,US,0
3,International,2,CA,20
3,Limit of Liability,1,Less than or equal to 250000,5
3,Limit of Liability,2,Between 250000 and 1000000,10
3,Limit of Liability,3,Between 1000000 and 5000000,15
3,Limit of Liability,4,5000000 or greater,25
3,Portfolio Size,1,1 to 5,0
3,Portfolio Size,2,6 to 10,5
3,Portfolio Size,3,11 to 20,10
3,Portfolio Size,4,21+,15
3,Prior Report,1,Internal < 6 months,-20
3,Prior Report,2,Internal < 2 years,-10
3,Prior Report,3,Internal < 10 years,0
3,Prior Report,4,External < 2 years,5
3,Site Complexity,1,Simple,0
3,Site Complexity,2,Average,15
3,Site Complexity,3,Complicated,30
3,Site Complexity,4,Difficult,50
3,Size,L,Building SF <= 250000,3
3,Size,M,Building SF <= 100000,2
3,Size,S,Building SF <= 30000,0
3,Size,XL,Building SF > 250000,5
3,Size,XS,Building SF <= 10000,0
3,Time Period,1,Busy Level,5
3,Travel Difficulty,1,Easy,0
3,Travel Difficulty,2,Moderate,10
3,Travel Difficulty,3,Difficult,20
3,Travel Difficulty,4,Remote,30
3,Turnaround Time,1,Less than or equal to 5 days,25
